en-cat	cat	en-sp	sp
This managerial structure is tasked not just with ensuring the services provided by Barcelona City Council are effective and efficient and meet the city's values and needs, but also with seeing to the planning, organisation and provision of public services, to make sure the goals set out under the Municipal Action Plan are achieved.	Aquesta estructura gerencial s'encarrega que els serveis prestats per l'Ajuntament de Barcelona als ciutadans siguin eficaços i eficients, i responguin als valors i a les necessitats de la ciutat, alhora que es fa càrrec de la planificació, organització i prestació dels serveis públics, per garantir l'acompliment dels objectius que expressa el pla d'actuació municipal.	This managerial structure is tasked not just with ensuring the services provided by Barcelona City Council are effective and efficient and meet the city's values and needs, but also with seeing to the planning, organisation and provision of public services, to make sure the goals set out under the Municipal Action Plan are achieved.	Ayuntamiento de Barcelona a los ciudadanos sean eficaces y eficientes, y respondan a los valores y a las necesidades de la ciudad, a la vez que se hace cargo de la planificación, organización y prestación de los servicios públicos, para garantizar el cumplimiento de los objetivos que expresa el Plan de actuación municipal.
The following organisation chart shows Barcelona City Council's administrative structure:	El següent organigrama mostra l'estructura administrativa de l'Ajuntament de Barcelona:	The following organisation chart shows Barcelona City Council's administrative structure:	El siguiente organigrama muestra la estructura administrativa del Ayuntamiento de Barcelona:
1.5. Average number of employees during the financial year and on 31 December, both civil servants and externally contracted staff, according to category and sex	1.5. Nombre mig d'empleats durant l'exercici i a 31 de desembre, tant funcionaris com personal laboral, distingint per categories i sexes.	1.5. Average number of employees during the financial year and on 31	1.5. Número medio de empleados durante el ejercicio y a 31 de
	December, both civil servants and externally contracted staff, according to category and sex	diciembre, tanto funcionarios como personal laboral, distinguiendo por categorías y sexos
1.5.1. Average number of employees during 2017	1.5.1. Nombre mig d'empleats durant el 2017	1.5.1. Average number of employees during 2017	1.5.1. Número medio de empleados durante el 2017
1.5.2. Number of employees on 31/12/2017	1.5.2. Nombre d'empleats a 31/12/2017	1.5.2. Number of employees on 31/12/2017	1.5.2. Número de empleados a 31/12/2017
1.6. Entities of the group, multi-group and associate bodies	1.6. Entitats del grup, multigrup i associades	1.6. Entities of the group, multi-group and associate bodies	1.6. Entidades del grupo, multigrupo y asociadas
1.6.1. Group entities	1.6.1. Entitats del grup	1.6.1. Group entities	1.6.1. Entidades del grupo
1.6.2. Multi-group entities	1.6.2. Entitats multigrup	1.6.2. Multi-group entities	1.6.2. Entidades multigrupo
a) Entities that are consolidated with the City Council	a) Entitats que consoliden amb l'Ajuntament	a) Entities that are consolidated with the City Council	a) Entidades que se consolidan con el Ayuntamiento
b) Entities excluded from municipal consolidation	b) Entitats excloses de la consolidació municipal	b) Entities excluded from municipal consolidation	b) Entidades excluidas de la consolidación municipal
1.6.3. Associated entities	1.6.3. Entitats associades	1.6.3. Associated entities	1.6.3. Entidades asociadas
2. Indirect management of public services, agreements and other forms of collaboration	2. Gestió indirecta de serveis públics, convenis i altres formes de col·laboració	2. Indirect management of public services, agreements and other forms of collaboration	2. Gestión indirecta de servicios públicos, convenios y otras formas de colaboración
The powers and services provided by the City Council are as follows:	Les competències i serveis que presta l'Ajuntament són:	The powers and services provided by the City Council are as follows:	Las competencias y servicios que presta el Ayuntamiento son:
a) Mandatory services:	a) Serveis obligatoris:	a) Mandatory services:	a) Servicios obligatorios:
The City Council provides the following mandatory services: public lighting, cemeteries, urban environment, waste collection, waste treatment, street cleaning, household supply of drinking water, sewers, access to city centres, road surfacing, public parks, public libraries, civil protection, assessing and providing information on situations of social need and immediate care for people in situations of social risk, preventing and extinguishing fires, public sports facilities and urban public passenger transport.	L'Ajuntament presta els següents serveis obligatoris: enllumenat públic, cementiri, medi ambient urbà, recollida de residus, tractament de residus, neteja viària, abastament domiciliari d'aigua potable, clavegueram, accés als nuclis de població, pavimentació de les vies públiques, parc públic, biblioteca pública, protecció civil, avaluació i informació de situacions de necessitat social i l'atenció immediata a persones en situació o risc d'exclusió social, prevenció i extinció d'incendis i instal·lacions esportives d'ús públic, i transport col·lectiu urbà de viatgers.	The City Council provides the following mandatory services: public lighting, cemeteries, urban environment, waste collection, waste treatment, street cleaning, household supply of drinking water, sewers, access to city centres, road surfacing, public parks, public libraries, civil protection, assessing and providing information on situations of social need and immediate care for people in situations of social risk, preventing and extinguishing fires, public sports facilities and urban public passenger transport.	El Ayuntamiento presta los siguientes servicios obligatorios: alumbrado público, cementerio, medio ambiente urbano, recogida de residuos, tratamiento de residuos, limpieza viaria, abastecimiento domiciliario de agua potable, alcantarillado, acceso a los núcleos de población, pavimentación de las vías públicas, parque público, biblioteca pública, protección civil, evaluación e información de situaciones de necesidad social y la atención inmediata a personas en situación o riesgo de exclusión social, prevención y extinción de incendios e instalaciones deportivas de uso público y transporte colectivo urbano de viajeros.
b) Voluntary services:	b) Serveis voluntaris:	b) Voluntary services:	b) Servicios voluntarios:
